Initial hash size, Avg write time, Avg read time
512, 0.121264, 0.00378065
1024, 0.121885, 0.00298388
2048, 0.199506, 0.00379380
4096, 0.185678, 0.00333472
8192, 0.181724, 0.00365722
16384, 0.198638, 0.00297874
32768, 0.180366, 0.00298621
65536, 0.183550, 0.00304551
131072, 0.115208, 0.00355465
262144, 0.00365776, 0.00353118
